fy,month,acwi_exUS,IWV,VBTIX
2005,10,0.20062921434532,0.103735148071044,0.0117010125240038
2006,10,0.284012654385096,0.163539005304805,0.0531267224554535
2007,10,0.324305490745061,0.143910375692685,0.0549453489595402
2008,10,-0.485278295881118,-0.36523687406254,0.0034816122217598
2009,10,0.341024845287427,0.10507008204008,0.140202880060008
2010,10,0.126204737271985,0.183074641870677,0.0776961631772675
2011,10,-0.0466451511525304,0.0756386420583355,0.050970448213751
2012,10,0.0397542854244852,0.145909640137553,0.05008439473056
2013,10,0.202877785568393,0.288940989000362,-0.0114927427607362
2014,10,0.00057276091033498,0.157206640173678,0.0408828395513459
2015,10,-0.0467976677152829,0.0438387493415064,0.0183002860101031
2016,10,0.00224271251295405,0.040551622884627,0.0446490128426151
2017,10,0.236378965676319,0.237847955093432,0.00809760301869344
2018,10,-0.0824094525336135,0.0638717766696269,-0.0202334645766576
2019,10,0.112675858845525,0.133588600131953,0.115060822408782
2020,10,-0.026107192815166,0.100173333984656,0.0617828723471263
2021,10,0.296611485408166,0.434129952434031,-0.00319028923916898
2000,11,,,
2001,11,,-0.115191294198646,0.112036574418217
2002,11,-0.109706238643247,-0.158450986430045,0.0476080313148304
2003,11,0.266094055616974,0.183649243454819,0.04647853056411
2004,11,0.247817033852767,0.131496247882642,0.0436140081791074
2005,11,0.160453954156013,0.0973539041344198,0.0247926672208902
2006,11,0.287328952454581,0.140813244918886,0.0597303838762027
2007,11,0.220519349491941,0.0703587898069766,0.0622937218266153
2008,11,-0.492112617843295,-0.389573654805806,0.0215175950599398
2009,11,0.464149736972128,0.272065824698607,0.115154992341403
2010,11,0.0525769034810859,0.122574221519938,0.0571887185738524
2011,11,-0.058984014030941,0.0679105053730764,0.0537128608274502
2012,11,0.116551097572381,0.158210027387277,0.0553110736762117
2013,11,0.182402881399537,0.31287786196279,-0.0168327945242501
2014,11,0.00608719412229042,0.155925614359547,0.0513169573549379
2015,11,-0.0731777237955851,0.0244979510537073,0.00895824671965806
2016,11,-0.000303883742762467,0.0819308791914326,0.0197463537372713
2017,11,0.275934319446329,0.218986029774673,0.0336755720856161
2018,11,-0.0811881272361408,0.0526649061719968,-0.0133246092846367
2019,11,0.111962032642667,0.154646821093847,0.108512840618573
2020,11,0.0952380952380953,0.187000567466193,0.0742399204633324
2021,11,0.0914161229983117,0.263198139589344,-0.0108841283173023
2000,12,,,
2001,12,-0.19734,-0.114774651558546,0.0851611550306539
2002,12,-0.149477985697556,-0.21642285839469,0.0786756270468496
2003,12,0.408302572215386,0.31129524415766,0.0322668186228083
2004,12,0.20906575690125,0.116958247812295,0.0439564068389271
2005,12,0.166187780664476,0.0608007176729415,0.0254998941209446
2006,12,0.266524048391856,0.156590200315653,0.0443491208471645
2007,12,0.166521055390529,0.0456021003407612,0.0707466883741581
2008,12,-0.455252646295187,-0.371507628051713,0.0521601423580256
2009,12,0.414483694157761,0.28221481216012,0.0611611806828858
2010,12,0.111525825703233,0.168503239205383,0.0629067405892847
2011,12,-0.137074865624308,0.00781262898334711,0.0774212101427865
2012,12,0.168300443855939,0.164343871006346,0.0419962115151482
2013,12,0.152880017116456,0.330125260108057,-0.0212905083200589
2014,12,-0.0386666064773713,0.123943650211696,0.0591488525041757
2015,12,-0.0566205090210893,0.00329786962065048,0.00426572336377884
2016,12,0.0449532658591891,0.126332689227251,0.0260729802583188
2017,12,0.271914596322603,0.209705350384207,0.0357667376748048
2018,12,-0.141952370450204,-0.0543550964033496,-5.50999414175024e-05
2019,12,0.215111542192047,0.306580808205915,0.0873483043618166
2020,12,0.106519101518223,0.205459456831503,0.0774615714564095
2021,12,0.0782412667496257,0.255380131757538,-0.0164444066601152
